Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
"Arthur W. Hummel, Jr.",1981,Reagan,China,Yes,C04690229,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Mandarin),No,,Yes,Yes,,No,Yes
Thomas R. Pickering,1981,Reagan,Nigeria,Yes,C06121843,0,,,Not reported,Yes,No,Assistant Secretary for Oceans and Int'l Environmental and Scientific Affairs; Ambassador to Jordan,No,No,Yes,,Yes (English),No,,No,No,,Yes (Tanzania),Yes (DCM in Tanzania)
Robert Strausz-Hupe,1981,Reagan,Turkey,Yes,C06121869,Not Reported,,,Yes (Ph.D.),No,No,Ambassador to Ceylon,No,No,Yes,,No,No,,No,No,,"Yes (Belgium, Sweden)",Yes (Ambassador to NATO; Ambassador to Belgium; Ambassador to Sweden)
William L. Swing,1981,Reagan,Liberia,Yes,C06121871,6.29,,,Not reported,Yes,No,Int'l Business Affairs Division of Economic Bureau; Visa Officer in Hamburg; German Desk Officer,No,No,No,,Yes (English),No,,No,No,,"Yes (Central African Republic, Republic of Congo, Liberia, South Africa)",Yes (DCM in Bangui; Alternate Country Director for Central African Affairs; Ambassador in Brazzaville; Ambassador to Liberia; Junior Officer in Port Elizabeth)
Robert L. Barry,1981,Reagan,Bulgaria,Yes,C06489164,0,,,No,Yes,No,Yes,No,No,Yes,,No,No,,No,No,,Yes ,No
Parker W. Borg,1981,Reagan,Mali,Yes,C06489228,0,,,Yes (M.A. in Public Admin.),Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Kenneth Lee Brown,1981,Reagan,Republic of Congo,Yes,C06489268,0,,,Yes (M.A. in Pol. Sci.),Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
John A. Burroughs Jr.,1981,Reagan,Malawi,Yes,C06489274,0,,,No,No,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Walter Leon Cutler,1981,Reagan,Tunisia,Yes,C06489301,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,No
Raymond C. Ewing,1981,Reagan,Cyprus,Yes,C06489331,0,,,No,Yes,No,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Charles H. Price II,1981,Reagan,Belgium,Yes,C06489347,20845.31,,,No,No,No,No,No,No,Yes,,No,No,,No,No,,No,No
Ronald I. Spiers,1981,Reagan,Pakistan,Yes,C06489540,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,No
Arthur Adair Hartman,1981,Reagan,Russia (USSR),Yes,C06490199,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,Yes
Deane R. Hinton,1981,Reagan,El Salvador,Yes,C06490205,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,No
Jack F. Matlock Jr.,1981,Reagan,Czechia (Czechoslovakia),Yes,C06490933,0,,,No,Yes,No,Yes,No,No,No,,No,No,,No,No,,Yes,No
Michael H. Newlin,1981,Reagan,Algeria,Yes,C06490968,0,,,No,Yes,No,Yes,No,No,No,,Yes (French),No,,No,No,,Yes,No
Ronald Dewayne Palmer,1981,Reagan,Malaysia,Yes,C06491000,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Bahasa),Yes (English),,Yes,Yes,,Yes,Yes
Richard Noyes Viets,1981,Reagan,Jordan,Yes,C06491090,0,,,No,Yes,No,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Faith Ryan Whittlesey,1981,Reagan,Switzerland,Yes,C06491094,Not Reported,,,Yes (J.D.),No,No,Yes,No,No,Yes,,No,No,,Yes,Yes,,No,No
David Eugene Zweifel,1981,Reagan,Yemen,Yes,C06491114,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Arabic),No,,No,No,,Yes,Yes
David Anderson,1981,Reagan,Yugoslavia,Yes,C06549058,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Serbo-Croatian),No,,Yes,No,,Yes,Yes
Thomas Aranda Jr.,1981,Reagan,Uruguay,Yes,C06549065,9843,,,Yes (JD),No,No,No,Yes,Yes (Lt. Colonel in Air Force),No,,Yes (Spanish),No,,No,No,,No,Yes
Harry G. Barnes Jr.,1981,Reagan,India,Yes,C06549088,315,,,No,Yes,No,Yes,No,No,No,,No,Yes (English),,Yes,No,,Yes,No
Milan D. Bish,1981,Reagan,Barbados,Yes,C06549092,3365,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Milan D. Bish,1981,Reagan,St. Lucia,Yes,C06549092,3365,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Milan D. Bish,1981,Reagan,St. Vincent & Grenadines,Yes,C06549092,3365,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Marshall Brement,1981,Reagan,Iceland,Yes,C06549121,0,,,No,Yes,No,Yes,No,Yes (NSC),No,,No,Yes (English),,No,No,,Yes,No
H. Monroe Browne,1981,Reagan,New Zealand,Yes,C06549135,3584,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
H. Monroe Browne,1981,Reagan,Samoa (Western Samoa),Yes,C06549135,3584,,,No,No,No,No,No,No,Yes,,Yes (English),No,,No,No,,No,No
Arthur F. Burns,1981,Reagan,Germany (Federal Republic),Yes,C06549149,0,,,Yes (Ph.D. in Economics),No,No,No,No,No,Yes,,No,No,,No,No,,Yes,No
Frederic L. Chapin,1981,Reagan,Guatemala,Yes,C06549158,0,,,No,Yes,No,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
Jane A. Coon,1981,Reagan,Bangladesh,Yes,C06549172,0,,,No,Yes,No,Yes,No,No,No,,No,No,,No,Yes,,Yes,Yes
Carleton S. Coon Jr.,1981,Reagan,Nepal,Yes,C06549177,0,,,No,Yes,No,Yes,No,No,Yes,,No,No,,Yes,No,,Yes,No
